"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","mean","sd","SKO"
"13133",0.462,0.474,0,0.054,0,0,0,0.01,0,0,0,0.317071375,0.360164151,0.170831198,0.545945946,0.5,24.9902022661854,4.33526058253844,0.0628655116204741
"23731",0.266,0.474,0,0.242,0,0,0,0.018,0,0,0,0.815098454,0.238125496,0.320336783,0.567567568,0.5,28.2204303484203,2.88026945810884,0.0628567910232234
"252501",0.464,0.478,0.008,0.05,0,0,0,0,0,0,0,0.301289018,0.364259112,0.156240941,0.627027027,0.5,25.5429436031611,4.09029924005925,0.0628554823394141
"68369",0.27,0.476,0,0.234,0,0,0,0.02,0,0,0,0.803350171,0.24700203,0.324389017,0.589189189,0.5,27.5106780295331,3.20531850535757,0.0628553845918849
"126734",0.312,0.468,0.012,0.208,0,0,0,0,0,0,0,0.716528438,0.262494043,0.300727494,0.583783784,0.5,27.6702771664859,3.13251014488936,0.0628545548067738
"260016",0.376,0.486,0,0.132,0,0,0,0.006,0,0,0,0.552198211,0.288792693,0.23546501,0.632432432,0.5,27.797701790003,3.07426103984198,0.0628540999285883
"52553",0.402,0.476,0,0.114,0,0,0,0.008,0,0,0,0.49460781,0.310788103,0.23292155,0.556756757,0.5,26.5755012918733,3.62865338023836,0.0628530798331531
"210393",0.448,0.478,0.006,0.068,0,0,0,0,0,0,0,0.357423,0.344748036,0.174575309,0.608108108,0.5,26.0864096840259,3.84797692938611,0.0628490137122541
"84449",0.448,0.47,0.008,0.074,0,0,0,0,0,0,0,0.368838161,0.349651399,0.192334857,0.562162162,0.5,25.4356491573793,4.13781896963515,0.062845819675386
"65739",0.28,0.476,0,0.226,0,0,0,0.018,0,0,0,0.783111485,0.248773277,0.318016218,0.583783784,0.5,27.5428952155861,3.19039569818845,0.0628334467845989
"42472",0.372,0.468,0.008,0.152,0,0,0,0,0,0,0,0.580671531,0.293188598,0.263870634,0.545945946,0.5,27.5542769879586,3.185161051106,0.0628292210556371
"13166",0.396,0.474,0,0.12,0,0,0,0.01,0,0,0,0.51091409,0.311556791,0.246126457,0.545945946,0.5,26.9000156258167,3.48204176956583,0.0628268984548738
"215348",0.432,0.484,0,0.08,0,0,0,0.004,0,0,0,0.400961589,0.324232636,0.179797519,0.610810811,0.5,26.3484095786592,3.730193365835,0.0628128647645513
