"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","EI","mean","sd"
"168617",0.374,0.472,0.01,0.144,0,0,0,0,0,0,0,0.566328436,0.302268997,0.264094867,0.597297297,0.5,0.0751226556043982,26.8202764145694,3.74317836144658
"131336",0.396,0.48,0,0.12,0,0,0,0.004,0,0,0,0.511359826,0.295991528,0.220633865,0.578378378,0.5,0.0751105349001259,25.5613417227591,4.34131657250123
"126298",0.376,0.476,0.004,0.144,0,0,0,0,0,0,0,0.567961928,0.283223017,0.23966519,0.572972973,0.5,0.0751102784782158,26.2741489376245,4.00443098273414
"252286",0.288,0.484,0.002,0.226,0,0,0,0,0,0,0,0.77180661,0.211930986,0.257377528,0.618918919,0.5,0.0751093036818845,28.9399898678736,2.69413015942312
"42468",0.38,0.468,0.008,0.144,0,0,0,0,0,0,0,0.560392303,0.299083929,0.258841508,0.545945946,0.5,0.0751087790192825,26.6334157286242,3.83281267529149
"215349",0.43,0.484,0,0.082,0,0,0,0.004,0,0,0,0.406942199,0.322734092,0.182131495,0.610810811,0.5,0.0751070033631678,25.5954367252004,4.32526575762933
"168621",0.366,0.472,0.01,0.152,0,0,0,0,0,0,0,0.586784007,0.296296002,0.268997742,0.597297297,0.5,0.0750947962136817,26.968137213154,3.67160243783947
"49941",0.376,0.476,0,0.142,0,0,0,0.006,0,0,0,0.567406394,0.285924455,0.246597614,0.551351351,0.5,0.0750900569969085,26.4654532897873,3.91300656070523
"173325",0.448,0.482,0,0.066,0,0,0,0.004,0,0,0,0.356668712,0.335389639,0.162666009,0.594594595,0.5,0.0750799009692729,24.570667885009,4.8021412426693
"252433",0.398,0.48,0.006,0.116,0,0,0,0,0,0,0,0.498827357,0.307924279,0.225260391,0.624324324,0.5,0.075078037488139,26.4801460797886,3.90586276910988
"168616",0.376,0.472,0.01,0.142,0,0,0,0,0,0,0,0.561159605,0.303762245,0.262798459,0.597297297,0.5,0.0750716132719155,26.7850225321266,3.75963330088764
"86701",0.386,0.478,0,0.134,0,0,0,0.002,0,0,0,0.544502202,0.282395199,0.223359389,0.556756757,0.5,0.0750647358858055,25.9792628717519,4.14386622062362
"13176",0.376,0.474,0,0.14,0,0,0,0.01,0,0,0,0.564235552,0.296827288,0.261029815,0.545945946,0.5,0.0750633881482519,26.6902420832489,3.80509268737444
"43709",0.322,0.444,0.032,0.202,0,0,0,0,0,0,0,0.683572441,0.336649899,0.372457296,0.578378378,0.5,0.0750612578613216,26.3079244297045,3.98784147814175
"18444",0.34,0.474,0,0.172,0,0,0,0.014,0,0,0,0.649664459,0.281568264,0.292404058,0.556756757,0.5,0.075054803981726,27.1885442090456,3.56448693055673
"189161",0.276,0.482,0,0.226,0,0,0,0.016,0,0,0,0.788736032,0.241306151,0.30781533,0.627027027,0.5,0.0750505481684947,28.3108414852919,3.01165472916018
"210220",0.39,0.482,0.002,0.126,0,0,0,0,0,0,0,0.526565275,0.287906628,0.215700771,0.602702703,0.5,0.0750491797525764,26.5677467542278,3.86366814692865
